t,z,u
0,0.1,7.58E-14
0.1,0.1,0.36647
0.2,0.1,0.66487
0.3,0.1,0.81704
0.4,0.1,0.89365
0.5,0.1,0.93359
0,0.2,-2.37E-23
0.1,0.2,0.17891
0.2,0.2,0.4687
0.3,0.2,0.66402
0.4,0.2,0.78248
0.5,0.2,0.85357
0,0.3,-4.89E-30
0.1,0.3,0.072499
0.2,0.3,0.30135
0.3,0.3,0.50838
0.4,0.3,0.65671
0.5,0.3,0.75658
0,0.4,-7.43E-38
0.1,0.4,0.02409
0.2,0.4,0.17586
0.3,0.4,0.36582
0.4,0.4,0.52686
0.5,0.4,0.64837
0,0.5,-8.56E-46
0.1,0.5,0.0065633
0.2,0.5,0.092758
0.3,0.5,0.24686
0.4,0.5,0.40326
0.5,0.5,0.53605
0,0.6,-8.79E-54
0.1,0.6,0.0014998
0.2,0.6,0.044099
0.3,0.6,0.15578
0.4,0.6,0.29404
0.5,0.6,0.42686
0,0.7,-8.48E-62
0.1,0.7,2.98E-04
0.2,0.7,0.0189
0.3,0.7,0.091627
0.4,0.7,0.20403
0.5,0.7,0.32696
0,0.8,-7.85E-70
0.1,0.8,5.35E-05
0.2,0.8,0.0073345
0.3,0.8,0.050196
0.4,0.8,0.13474
0.5,0.8,0.24052
0,0.9,-7.08E-78
0.1,0.9,9.01E-06
0.2,0.9,0.0026371
0.3,0.9,0.026001
0.4,0.9,0.085099
0.5,0.9,0.16901
